Student_ID,Gender,Age,Attendance,Study_Hours,Assignment_Marks,Internal_Marks,Previous_Semester_Marks,Internet_Access,Family_Support,Extra_Curricular,Sleep_Hours,Daily_Screen_Time,Project_Marks,Quiz_Marks,Class_Participation,Final_Exam_Marks,Performance
STU_2026000,Male,24,76.0,8.4,57.2,74.0,71.1,Yes,Medium,No,7.1,1.3,58.5,86.5,45.8,74.1,Good
STU_2026001,Female,21,74.0,7.9,88.2,68.4,43.1,Yes,Medium,Yes,8.2,1.2,93.1,31.2,75.9,73.7,Good
STU_2026002,Female,23,51.3,6.2,99.8,53.7,54.0,Yes,High,Yes,7.3,6.2,80.6,43.1,41.5,67.3,Average
STU_2026003,Female,25,67.1,9.6,41.8,35.4,69.5,Yes,High,No,9.1,3.2,60.5,75.8,33.9,55.2,Average
STU_2026004,Male,25,69.0,2.8,93.8,67.3,58.6,Yes,Medium,Yes,6.4,6.6,72.6,56.3,38.5,63.4,Average
STU_2026005,Male,20,69.9,2.0,77.4,53.6,50.9,Yes,Low,No,6.8,4.0,90.4,98.8,95.1,61.2,Average
STU_2026006,Male,25,79.0,8.7,98.4,82.7,70.2,Yes,Medium,Yes,4.9,4.2,93.0,76.6,68.6,82.5,Good
STU_2026007,Female,24,76.7,5.0,67.9,36.6,59.4,No,High,No,7.5,4.6,49.6,97.0,85.7,63.1,Average
STU_2026008,Female,22,80.4,8.6,90.8,73.0,55.5,No,Medium,No,5.9,6.0,60.4,44.1,53.3,62.1,Average
STU_2026009,Female,18,88.2,9.0,43.7,96.2,67.8,Yes,Low,Yes,5.3,2.9,60.1,90.5,71.5,74.5,Good
STU_2026010,Male,24,90.6,1.6,60.1,46.3,48.0,Yes,Medium,Yes,7.2,1.9,42.5,52.5,64.6,54.3,Average
STU_2026011,Female,22,85.9,9.0,44.0,65.7,95.7,Yes,Low,No,7.2,4.9,75.9,99.3,96.2,76.0,Good
STU_2026012,Female,23,97.8,5.0,98.5,40.9,92.1,Yes,High,No,4.9,3.3,91.3,41.0,82.3,71.0,Good
STU_2026013,Male,25,50.9,5.6,89.0,75.7,82.5,Yes,High,No,8.0,4.1,62.9,66.1,81.1,77.9,Good
STU_2026014,Male,23,59.8,6.6,91.2,70.8,46.4,Yes,Medium,Yes,7.6,5.5,84.4,85.5,33.2,59.5,Average
STU_2026015,Male,25,50.4,9.3,96.3,61.5,86.6,Yes,Medium,Yes,5.4,4.5,77.7,60.3,68.5,73.9,Good
STU_2026016,Male,18,82.4,1.2,45.1,68.9,88.5,Yes,High,No,6.8,5.3,62.5,62.8,62.7,66.3,Average
STU_2026017,Female,19,94.9,5.3,63.1,93.3,86.1,Yes,High,No,8.1,4.8,48.5,99.0,94.9,86.3,Excellent
STU_2026018,Male,18,62.2,7.2,44.3,47.8,46.8,No,Medium,No,7.1,6.2,82.6,59.8,48.0,51.8,Average
STU_2026019,Male,21,96.4,7.5,52.6,36.5,78.6,Yes,High,No,6.5,5.9,91.3,72.3,48.9,65.1,Average
STU_2026020,Female,24,53.0,7.2,53.8,91.0,90.1,Yes,High,No,6.1,4.7,81.2,33.8,58.8,68.0,Average
STU_2026021,Male,20,96.7,2.2,68.1,72.5,74.6,Yes,Medium,No,7.6,5.8,41.1,89.0,47.0,66.8,Average
STU_2026022,Male,19,67.6,3.7,56.1,92.9,78.8,Yes,Medium,Yes,9.2,7.1,53.0,75.4,39.0,61.5,Average
STU_2026023,Male,18,55.1,4.2,46.1,73.8,67.5,Yes,Medium,No,7.9,4.0,44.2,58.3,90.0,59.4,Average
STU_2026024,Male,22,74.3,8.2,50.0,87.7,71.7,Yes,High,No,4.9,3.9,74.2,31.1,69.1,71.1,Good
STU_2026025,Female,19,62.8,3.5,48.8,62.9,42.1,No,Medium,Yes,6.8,6.3,85.4,71.4,90.3,58.6,Average
STU_2026026,Male,24,64.2,2.9,98.4,83.7,78.3,Yes,Medium,No,9.0,5.1,46.6,30.9,88.2,71.4,Good
STU_2026027,Female,25,65.4,9.6,85.6,94.3,44.9,Yes,Medium,No,5.0,1.5,90.3,30.1,49.7,73.2,Good
STU_2026028,Female,19,90.2,1.1,98.1,72.2,66.1,Yes,Medium,No,9.4,7.2,73.3,73.1,68.3,69.0,Average
STU_2026029,Male,25,77.0,10.0,66.4,46.8,57.6,Yes,High,No,9.2,1.2,81.4,43.2,35.8,60.6,Average
STU_2026030,Female,24,65.6,7.1,56.7,52.5,72.7,Yes,High,No,4.9,6.2,98.3,43.4,94.1,63.6,Average
STU_2026031,Male,18,80.5,8.5,87.9,47.9,48.0,No,High,Yes,9.2,6.3,45.0,75.7,58.3,58.1,Average
STU_2026032,Male,24,85.8,3.7,59.6,51.0,81.5,No,High,No,6.3,7.7,94.1,33.8,57.6,55.5,Average
STU_2026033,Female,19,63.6,1.1,58.0,54.9,87.7,Yes,Medium,No,8.7,1.4,47.6,51.9,51.2,60.0,Average
STU_2026034,Female,22,70.7,7.6,54.0,71.1,49.8,Yes,Medium,No,6.6,5.2,63.6,40.5,62.2,58.8,Average
STU_2026035,Female,23,56.1,8.5,47.8,73.2,,Yes,Medium,Yes,6.7,4.0,91.1,70.6,47.6,68.4,Average
STU_2026036,Male,19,59.1,7.7,55.4,62.7,48.7,Yes,Medium,Yes,7.7,3.3,94.4,76.3,56.2,72.8,Good
STU_2026037,Male,24,84.1,2.3,61.3,75.0,92.6,No,High,No,8.4,1.6,70.4,80.5,86.0,70.3,Good
STU_2026038,Female,23,59.1,7.8,80.4,40.3,71.7,Yes,Medium,No,4.7,4.9,75.6,47.9,88.4,61.5,Average
