student_id,gender,age,study_hours,attendance,previous_score,assignments_completed,internet_access,extracurricular,final_grade,performance
1001,Male,21,2,51,87,4,Yes,Yes,49,Poor
1002,Male,21,9,55,77,6,Yes,Yes,65,Good
1003,Female,17,9,88,41,8,Yes,No,71,Good
1004,Male,20,5,50,88,2,No,No,56,Average
1005,Female,17,6,56,45,6,Yes,No,57,Average
1006,Female,22,1,96,69,8,Yes,No,57,Average
1007,Female,22,10,73,76,3,Yes,Yes,75,Good
1008,Female,16,4,56,64,4,No,No,47,Poor
1009,Male,18,4,92,57,10,Yes,Yes,67,Good
1010,Male,19,7,67,99,10,Yes,No,73,Good
1011,Male,22,1,70,65,4,Yes,Yes,52,Average
1012,Male,21,8,75,96,10,No,Yes,81,Excellent
1013,Male,17,9,84,56,9,No,No,76,Good
1014,Female,17,9,81,45,0,Yes,Yes,60,Average
1015,Male,20,2,74,64,9,No,No,47,Poor
1016,Female,21,9,98,57,10,No,Yes,80,Excellent
1017,Male,17,8,50,86,4,Yes,Yes,69,Good
1018,Male,17,6,98,50,8,Yes,No,77,Good
1019,Female,16,6,69,55,0,Yes,Yes,49,Poor
1020,Female,22,2,98,74,2,Yes,No,59,Average
1021,Female,20,10,77,53,8,Yes,No,79,Good
1022,Male,19,9,78,47,3,Yes,Yes,68,Good
1023,Male,20,9,64,77,3,Yes,Yes,64,Average
1024,Male,16,1,71,44,8,Yes,No,55,Average
1025,Female,20,3,96,99,9,No,Yes,82,Excellent
1026,Female,17,2,56,82,6,No,No,57,Average
1027,Female,22,1,93,81,10,Yes,Yes,72,Good
1028,Male,22,2,65,52,3,No,Yes,48,Poor
1029,Male,18,8,65,95,1,No,Yes,62,Average
1030,Male,16,4,60,66,7,No,Yes,59,Average
1031,Female,17,7,50,64,4,No,No,61,Average
1032,Male,17,4,68,53,0,Yes,No,42,Poor
1033,Male,20,8,82,98,8,Yes,Yes,93,Excellent
1034,Male,22,3,54,78,1,Yes,No,46,Poor
1035,Male,20,10,52,79,1,No,No,65,Good
